用户名,评论
山东TV___李鑫,https://b23.tv/BV1Ef4y1f7aM 请您看看这个
真二次元刀酱一刀哥,BV1Ef4y1f7aM 讲一讲这个
玛丽各壁,唐山热度异常被顶下去了
在那天际线,我想问一下 那个男的构不构成猥亵未遂？
爱玩游戏的惜痕,直到现在还没有那四个女孩一点消息，家长的发声都没有，想想都可怕
_栗山千明,完蛋了 我感觉这件事要被刷下去了
虚实二元论者,https://b23.tv/BV1it4y1H7Ut
灭绝吧没救了,看到这案件里穿黑衣服的女孩，明明都怕得躲男友怀里了，但看到受害者被群殴还是本能想冲上去帮忙（不过被男友拉住了），害怕但勇敢善良的女孩子[tv_大哭]
kemomimi狐,现实生活中我饭都不吃了直接跑路，网上的话我肯定得上，哪怕豁出命去
下一站離开,已经这么多天了，4个女孩还是一点消息都没有
娜姿指定老公,BV1Ef4y1f7aM 那这个呢
极品坏蚊子,"https://www.bilibili.com/video/BV1p3411u7Di?share_source=copy_web

罗翔赶紧来吃三大碗粉"
雨夜带刀不帶傘,今天17号了。一个礼拜了。四名女生现在是什么情况都没有确切消息[无语][无语]
玉盘珍馐直万钱,https://b23.tv/8sPkEsM
小贾克斯,李叔凡律师的视频被强制下架了！！！
峪宝,热搜一直被撤 真的感觉很无力
撼胃者,"好迷惑[疑惑]
假如受害者是个男人，被八个大汉围攻，难道这件事就不让人愤恨了吗？
我们憎恨的是嚣张跋扈的黑恶势力，理应和性别无关! 
不知道是谁在肆意改变矛盾，搅动潮水……"
符拉迪沃维申斯克,https://b23.tv/BV1HU4y1R7Nb
戴眼镜的包子先生,"我就奇了怪了，按某些人的逻辑，因为比这还过分的事没被报道出来，所以这事也就没那么过分、我们也没必要愤怒了是吗？什么狗屁逻辑。
既然发现了，不及时遏制就是在助长这种风气，因为施暴者知道就算自己的罪行被发现了也不会怎么样。就像校园霸凌，别人的默不作声就是施暴者最大的底气"
宝宝鸭oo,已经结束啦 女孩平安我就放心啦
_Momoko-,16岁男孩听到“救命”下河救人溺亡，知情人说其实是只狗坠河
胡胡说八桃什么,过去好几天了，热度也下降了，真的好担心啊，……
一切自由人的朋友,这个案子的特殊性在哪？全中国每天要发生多少比这更严重的恶性事件？为什么这个案子广受关注？我不相信是偶然
青羅拂,【【张捷说法】从唐山打人案谈寻衅滋事罪-哔哩哔哩】 https://b23.tv/s0wV0zs
0420号玫瑰嘎嘎雨,"很气愤的就是 我和我妈妈说这个新闻的时候 我爸爸突然来了一句：“你觉得这种凌晨两点还在外面吃烧烤的女的能有多干净。”
我当时就不可置信 真的气炸了 怎么会有这样想法的人啊 他还说网上支持维护女孩安全的网友发声都是无脑吹，像他这样的明理人只有少数

我当时真的就？？？一整个无语住 这种东西怎么长的 这只要是个碳基生物都不会这么想吧？？？？？？？？？？？[热词系列_问号]"
Ly_Spike,16岁男孩听到“救命”下河救人溺亡，知情人说其实是只狗坠河
醉茄子,为什么同样的性质甚至更严重的后果的未成年人霸凌事件就无法产生这么大的能量呢？？是因为大家已经过了学生时代，没有代入感吗？？？
起个名字烦死喵,【性质恶劣！连云港又发生一起围殴事件-哔哩哔哩】 https://b23.tv/972qBXX
茅屋外的花草园子,这一周，我都在等个结果，可是没有结果，不知道为什么，我从刚开始的愤怒渐渐有些怕黑怕冷了。
kirsch23,这是杀人未遂！那男的朝头部往死里打，就是朝打死去的。受害女性没死只是她命大！这是杀人！
tarrice,断案判刑还得是网友，个顶个的死刑立即执行
DlGun,感觉不如【16岁男孩被误导下河救人失踪，溺亡后求救者失踪！目前孩子还没有打捞上来！-哔哩哔哩】 https://b23.tv/umTmtOa😋🤗🤗
爱拉屎物的男孩子,我觉得性骚扰是有的，原视频打人男的说了句：把那女的怼路边艹了。然后他去骚扰那个女生的时候女生问干嘛，他说草你[吐][吐]
啵啵小兔ww,https://b23.tv/BFBys9M罗老师请问该怎么处理这类事情
宝宝鸭oo,后续又来了 明天宣判了 女孩也平安无事 太棒啦
何须更忆东篱,受害者呢，不是都活着吗，为什么没有一个人露个面，类比其他案件后续，太诡异了
_纯洁的神灯_,我求您说一下16岁男孩溺水事件吧🙏🙏
国际联合精神科院主席,见义勇为，乐于助人是需要付出“代价”的
神之祖林皇,【性质恶劣！连云港又发生一起围殴事件-哔哩哔哩】 https://b23.tv/GjbfrTX
达达菲妙,我们努力勇敢正直[委屈]我曾经的闺蜜就是在公车发现一个女孩子晕倒了，一个男人想把她抗下车，我其实想问但又怕人家是认识的尴尬。我闺蜜直接冲上去拦着男人不让走，把女人晃醒问她认不认识这个男的。就怕是拐卖妇女！！！！我永远都会记得，然后告诉自己！！！比起尴尬，救命更重要！！！
应用广泛的酸碱盐,看完新闻气氛得睡不着，看完朋友圈微博还以为人是我打😆
知识课代表,"发布了视频笔记
　　
　　
https://www.bilibili.com/h5/note-app/view?cvid=17053658&pagefrom=comment"
shuai990,https://www.bilibili.com/video/BV1aU4y127xz?share_source=copy_web  再有正义感的人，也不敢上去制止。
芜湖口水娃,【16岁男孩被误导下河救人失踪，溺亡后求救者失踪！目前孩子还没有打捞上来！-哔哩哔哩】 https://b23.tv/tjCD7Z9 愤怒咯
Golly-,请问罗教授如何看待货拉拉事件呢  听到司机被判刑的那几天吃得下饭吗
Lucky_缘,别搞男女对立拜托了，千万不要被带节奏！！！这些施暴者是我们所有人（男女生）共同的敌人！[生气][生气]
肥宅快乐VLOG,这个事为什么还没有结果？！
吾好梦中杀人m,热心的永远是网友，冷漠的永远是路人。那到底是网友不出门，还是路人不上网呢？
鹦鹉级国术松狮,【男子见义勇为，救下被施暴女性，谁料自己却被拘留14天判赔40万！-哔哩哔哩】 https://b23.tv/i62EQlu我想请问老师对这个事情怎么看?
十亿奶狗的梦,酒精:又是我的锅。那些应酬喝到胃出血了也没见谁打领导和合作方啊
小金不是小晶,希望最后给个公正的结果，完整视频绿衣男子就对自己的同伴说了一句“把那女的怼到路边给cao了”，然后进行的骚扰，两个牛仔裤女子本来都是长裤，最后那个躺着的女子裤子变成了五分裤，所有根本不知道他们巷子里面干了什么畜牲事。
水母也会有梦想啊,16岁男孩被误导下河救人失踪，溺亡后求救者失踪！目前孩子还没有打捞上来！咱不能只打顺风局啊
石更之人,成都两女子骗人救狗，但青年事后溺亡，在溺亡过程中两女没有报警和周边呼救，而是逃跑，这应该怎么判？
结城友奈是笨蛋,BV1Ef4y1f7aM
爱吃橘子的皮卡丘,【性质恶劣！连云港又发生一起围殴事件-哔哩哔哩】 https://b23.tv/pHPIf8u 男打女就发视频，女打女就没信儿了？
Yrre_r,拒绝冲动，你拿了刀出去就是送走了自己
宋金合作无上限,发动自适应情绪，当局势处在顺风时愤怒拉满，当局势处在模糊不清时观望，当局势处在逆风时＿＿＿。
这是个ID呀,出来了 24年[doge]
权倾风华,现在还是不知道最后的结果是什么。。
枫原那啥子萬葉,BV1DW4y167iX
银发的糖尿病魂淡,网上咱这么多说自己敢上的，是恰巧这些网友不在现场呢，还是现场那些人都不上网呢
